filename,plate,confidence,status
T1_104551_UL787____Unknown.jpg,UL787,0.99,ok
T1_104717_PA814____Unknown.jpg,PA814,0.96,ok
T1_104825_PT963____Unknown.jpg,ISUZU,0.98,ok
T1_104855_VF888____Unknown.jpg,VF888,0.97,ok
T1_104911_YH287____Unknown.jpg,YH287,0.99,ok
T1_104922_ZE384____Unknown.jpg,ZE384,1.00,ok
T1_105022_YU481____Unknown.jpg,YU481,0.99,ok
T1_105031_HN850____Unknown.jpg,HN850,1.00,ok
T1_105056_UY587____Unknown.jpg,UY587,0.97,ok
T1_105107_ZZS745____Unknown.jpg,ZZS745,0.92,ok
T1_105111_RC850____Unknown.jpg,RC850,0.94,ok
T1_105133_JB111____Unknown.jpg,JB111,1.00,ok
T1_105150_VY867____Unknown.jpg,VY867,0.90,ok
T1_105200_GB972____Unknown.jpg,GB972,1.00,ok
T1_105209_ZE384____Unknown.jpg,ZE384,1.00,ok
T1_105229_AA740F____Unknown.jpg,AA74DF,0.93,ok
T1_105425_JR300____Unknown.jpg,JR300,0.98,ok
T1_105542_YJ353____Unknown.jpg,YJ353,0.98,ok
T1_105554_AA446R____Unknown.jpg,AA446R,0.93,ok
T1_105738_YS181____Unknown.jpg,VS181,0.97,ok
T1_105818_VP255____Unknown.jpg,VP255,0.99,ok
T1_105843_KE619____Unknown.jpg,KE619,0.99,ok
T1_105940_ZAA585H____Unknown.jpg,585H,0.99,ok
T1_110003_VT011____Unknown.jpg,VT011,0.96,ok
T1_110106_VZ225____Unknown.jpg,VZ225F,0.84,ok
T1_110120_PC908____Unknown.jpg,PC908,0.99,ok
T1_110239_RN724____Unknown.jpg,RN724,1.00,ok
T1_110248_RZ072____Unknown.jpg,RZ072,0.98,ok
T1_110254_UD874____Unknown.jpg,UD874,0.99,ok
T1_110312_SU054____Unknown.jpg,SU054,0.98,ok
T1_110316_VV386____Unknown.jpg,VV386,0.99,ok
T1_110344_LL215____Unknown.jpg,LL215,0.99,ok
T1_110438_RC850____Unknown.jpg,RC850,0.91,ok
T1_110454_GA650____Unknown.jpg,GA650,0.96,ok
T1_110506_YN350____Unknown.jpg,YN35G,0.88,ok
T1_110625_ZAA053N____Unknown.jpg,ZAA,0.72,ok
T1_110630_JT673____Unknown.jpg,JT673,0.96,ok
T1_110927_JH076____Unknown.jpg,JH0767,0.85,ok
T1_111032_NR007____Unknown.jpg,NROOT,0.87,ok
T1_111050_YF428____Unknown.jpg,YF428,1.00,ok
T1_111317_YC888____Unknown.jpg,YC888,0.97,ok
T1_111401_NR909____Unknown.jpg,NR909,0.99,ok
T1_111901_ZK290____Unknown.jpg,ZK29G,0.90,ok
T1_111928_SG122____Unknown.jpg,SG122,0.99,ok
